card_no,age,gender,card_type,city,state
5206477060277310,33,F,Silver,Meerut,Uttar Pradesh
5482186339777160,31,F,Silver,Ludhiana,Punjab
5148063675022320,20,F,Signature,Siliguri,West Bengal
5325649841765900,58,F,Gold,Kolkata,West Bengal
5226706593704910,54,F,Platinum,Kolkata,West Bengal
5402224409836940,37,F,Platinum,Siliguri,West Bengal
5156073353273490,50,F,Gold,Tiruchirappalli,Tamil Nadu
5143373513399290,42,F,Platinum,Surat,Gujarat
5201996508963760,47,F,Platinum,Thiruvananthapuram,Kerala
5288973602440880,53,M,Gold,Hyderabad,Telangana
5289328096336620,48,M,Signature,Meerut,Uttar Pradesh
5129398810559670,54,F,Silver,Patna,Bihar
5275382340488410,48,F,Silver,Varanasi,Uttar Pradesh
5435295205461390,46,F,Platinum,Nellore,Andra Pradesh
5538755564297430,54,M,Platinum,Mumbai,Maharashtra
5155609027581120,21,M,Signature,Indore,Madhya Pradesh
5533116586966300,30,F,Platinum,Surat,Gujarat
5162478476612530,54,F,Signature,Ghaziabad,Uttar Pradesh
5495371224447260,25,F,Silver,Jhansi,Uttar Pradesh
5265945676839080,40,M,Silver,Bhiwandi,Maharashtra
5407252794854900,34,M,Platinum,Thiruvananthapuram,Kerala
5129878313450440,52,M,Signature,Kalyan & Dombivali,Maharashtra
5545298456879980,44,M,Signature,Tiruchirappalli,Tamil Nadu
5306947208290220,30,F,Platinum,Mira and Bhayander,Maharashtra
5346374646687740,42,M,Gold,Guwahati,Assam
5408946266790990,43,F,Silver,Kolkata,West Bengal
5277239474436700,39,M,Signature,Ludhiana,Punjab
5417432703556240,48,F,Platinum,Bikaner,Rajasthan
5402153171139390,40,F,Silver,Warangal,Telangana
5204946846788440,57,F,Gold,Udaipur,Rajasthan
5186004382480210,55,F,Signature,Jalgaon,Maharashtra
5399681383174630,35,F,Signature,Bhiwandi,Maharashtra
5413969062804440,51,F,Silver,Lucknow,Uttar Pradesh
5154695859164260,44,M,Platinum,Mumbai,Maharashtra
5250998010341800,43,F,Gold,Vijayawada,Andra Pradesh
5486272812358560,39,M,Gold,Tiruchirappalli,Tamil Nadu
5526031284155990,50,F,Gold,Chandigarh,Punjab
5521215218477130,44,M,Gold,Mira and Bhayander,Maharashtra
5274711856441600,29,F,Platinum,Ujjain,Madhya Pradesh
5517733488409800,53,M,Gold,Nellore,Andra Pradesh
5381850508347820,36,F,Gold,Jalgaon,Maharashtra
5413971103244860,40,M,Silver,Udaipur,Rajasthan
5224232369307560,53,F,Gold,Navi Mumbai,Maharashtra
5379811108055600,24,F,Gold,Agra,Uttar Pradesh
5341999420241600,26,M,Signature,Bareilly,Uttar Pradesh
5554633849113210,57,F,Platinum,Jabalpur,Maharashtra
5346584302294110,30,M,Signature,Loni,Uttar Pradesh
5208183599538100,27,M,Signature,Jalgaon,Maharashtra
5384224312249980,52,M,Gold,Bangalore,Karnataka
5466540144736680,25,M,Gold,Allahabad,Uttar Pradesh
5479901732909760,26,F,Signature,Ulhasnagar,Maharashtra
5476263168027310,55,M,Signature,Bhavnagar,Gujarat
5556452033749820,51,F,Platinum,Patna,Bihar
5392469104277450,29,M,Signature,Faridabad,Haryana
5426151093115260,45,M,Platinum,Mangalore,Karnataka
5247986849816610,51,F,Silver,Dehradun,Uttarakhand
5456425569772380,59,M,Silver,Allahabad,Uttar Pradesh
5595524954141270,29,M,Platinum,Ujjain,Madhya Pradesh
5358866320683170,49,F,Signature,Hubli and Dharwad,Karnataka
5373816479726680,51,M,Platinum,Kolapur,Maharashtra
5509379420169060,25,M,Signature,Nanded Waghala,Maharashtra
5200374221497230,29,F,Silver,Kochi,Kerala
5553386550201450,36,M,Platinum,Gurgaon,Haryana
5108973418777960,49,F,Silver,Tiruchirappalli,Tamil Nadu
5530803968812700,25,F,Platinum,Amritsar,Punjab
5300399785045530,47,F,Platinum,Loni,Uttar Pradesh
5396210209138970,28,F,Gold,Ranchi,Jharkhand
5104267154638260,50,F,Gold,Moradabad,Uttar Pradesh
5206954852894440,44,M,Signature,Ahmedabad,Gujarat
5187540583069130,47,M,Signature,Ajmer,Rajasthan
5456095365449520,40,M,Silver,Saharanpur,Uttar Pradesh
5598762718971670,41,F,Signature,Indore,Madhya Pradesh
5150674143386730,29,F,Platinum,Amritsar,Punjab
5557305238095310,43,F,Silver,Chennai,Tamil Nadu
5114646998929850,43,F,Gold,Gulbarga,Karnataka
5317882737642680,45,M,Platinum,Salem,Tamil Nadu
5576498782235410,48,F,Signature,Udaipur,Rajasthan
5417640126737170,54,F,Platinum,Aurangabad,Maharashtra
